anime_id,year
32281,2016.0
5114,2009.0
28977,2015.0
9253,2011.0
9969,2011.0
32935,2016.0
11061,2011.0
15335,2013.0
15417,2012.0
4181,2008.0
28851,2016.0
918,2006.0
2904,2008.0
28891,2015.0
199,2001.0
23273,2014.0
24701,2014.0
12355,2012.0
1575,2006.0
263,2000.0
1,1998.0
30276,2015.0
164,1997.0
7311,2010.0
17074,2013.0
21939,2014.0
457,2005.0
2001,2007.0
245,1999.0
32983,2016.0
5258,2009.0
28957,2015.0
11665,2012.0
431,2004.0
11741,2012.0
31757,2016.0
19,2004.0
12365,2012.0
1535,2006.0
30654,2016.0
20583,2014.0
19647,2013.0
4282,2008.0
10379,2011.0
22135,2014.0
31043,2016.0
7785,2010.0
3297,2008.0
6114,2010.0
31240,2016.0
4565,2009.0
5300,2009.0
9989,2011.0
24415,2015.0
11577,2013.0
10408,2011.0
32995,2016.0
21899,2012.0
26055,2015.0
7472,2010.0
22535,2014.0
28735,2016.0
12431,2012.0
28805,2015.0
578,1988.0
16894,2013.0
5028,2009.0
21,1999.0
801,2004.0
31933,2016.0
5205,2009.0
17389,2013.0
170,1993.0
10162,2011.0
18617,2015.0
32182,2016.0
877,2006.0
2251,2007.0
16498,2013.0
10030,2011.0
5941,2009.0
30346,2016.0
3784,2009.0
13125,2012.0
14397,2013.0
10087,2011.0
14719,2012.0
9756,2011.0
10165,2011.0
13601,2012.0
22789,2014.0
30230,2015.0
18115,2013.0
11981,2013.0
205,2004.0
6594,2010.0
11979,2012.0
7655,2010.0
2246,2007.0
25835,2014.0
2921,1980.0
136,1999.0
30503,2015.0
12531,2012.0
523,1988.0
467,2002.0
572,1984.0
2559,1995.0
392,1992.0
486,2003.0
11771,2012.0
1698,2007.0
5341,2009.0
28701,2015.0
5420,2009.0
9260,2016.0
32,1997.0
4224,2008.0
2236,2006.0
31181,2015.0
45,1996.0
2418,2007.0
1365,2002.0
22297,2014.0
627,2004.0
4081,2008.0
4155,2009.0
1889,2007.0
558,2006.0
5040,2008.0
57,2004.0
33,1997.0
5,2001.0
1842,2007.0
1210,2006.0
338,1979.0
13759,2012.0
6547,2010.0
5081,2009.0
32867,2016.0
12859,2012.0
5460,2009.0
6746,2010.0
5690,2010.0
329,2003.0
513,1986.0
1142,2006.0
6811,2009.0
16664,2013.0
1604,2006.0
22145,2014.0
2966,2008.0
31964,2016.0
19363,2014.0
18195,2013.0
9863,2011.0
7674,2010.0
11843,2012.0
16782,2013.0
28675,2015.0
3226,2008.0
21557,2014.0
43,1995.0
9617,2011.0
10153,2012.0
1033,2002.0
3091,2008.0
12115,2013.0
28223,2015.0
121,2003.0
3002,2007.0
6675,2009.0
10800,2011.0
32005,2016.0
813,1989.0
28725,2015.0
585,1995.0
16067,2013.0
30,1995.0
31490,2016.0
759,2003.0
6,1998.0
11977,2012.0
11123,2011.0
23847,2015.0
962,2006.0
1519,2006.0
2167,2007.0
5681,2009.0
6467,2010.0
10271,2011.0
22507,2014.0
3701,2008.0
33255,2016.0
372,2000.0
25681,2015.0
4722,2008.0
24277,2014.0
239,2004.0
512,1989.0
4477,2008.0
31174,2015.0
23327,2014.0
5365,2008.0
7465,2010.0
7054,2010.0
23283,2014.0
2025,2007.0
235,1996.0
1364,2001.0
18689,2013.0
22043,2014.0
31988,2016.0
20899,2014.0
1453,1986.0
23623,2015.0
1559,2006.0
23289,2014.0
18,2004.0
4814,2008.0
16662,2013.0
12031,2012.0
8129,2010.0
14513,2012.0
2581,2007.0
30015,2016.0
1827,2007.0
25013,2014.0
1367,2004.0
27833,2016.0
1974,2005.0
8425,2011.0
185,1998.0
18679,2013.0
2034,2007.0
437,1998.0
721,2002.0
12477,2013.0
2402,1970.0
6702,2009.0
31741,2016.0
440,1997.0
4107,2008.0
1506,2006.0
2759,2007.0
72,2003.0
3016,1993.0
3783,2008.0
3927,2008.0
11597,2012.0
28025,2014.0
24833,2015.0
27663,2015.0
1482,2006.0
1430,1979.0
33051,2016.0
7720,2010.0
1914,2007.0
20371,2014.0
15039,2013.0
2164,2007.0
237,2005.0
135,2001.0
6045,2009.0
6211,2009.0
232,1998.0
4789,2008.0
16918,2013.0
16,2005.0
1486,1996.0
24997,2015.0
25879,2015.0
889,2006.0
21419,2014.0
934,2006.0
12189,2012.0
1530,2006.0
9656,2011.0
20507,2014.0
31149,2016.0
14075,2012.0
781,1999.0
1363,2000.0
223,1986.0
2004,2002.0
25649,2015.0
153,2002.0
5029,2008.0
302,1978.0
5682,2009.0
21647,2014.0
16049,2013.0
1065,1985.0
18179,2013.0
47,1988.0
23199,2015.0
30415,2015.0
10049,2011.0
1943,2006.0
846,2006.0
9926,2011.0
31173,2016.0
589,1986.0
15059,2012.0
7791,2010.0
17265,2013.0
20815,2014.0
535,1996.0
9963,2011.0
32551,2016.0
2762,1983.0
14713,2012.0
14807,2013.0
9204,2010.0
31098,2016.0
33253,2016.0
24921,2015.0
1471,1988.0
27831,2015.0
2924,2007.0
4672,2008.0
3907,1994.0
186,1999.0
21469,2014.0
9941,2011.0
14813,2013.0
21855,2014.0
11739,2012.0
2159,2007.0
28297,2015.0
29831,2016.0
2154,2006.0
861,2006.0
1689,2007.0
9996,2011.0
7711,2010.0
77,2005.0
32093,2016.0
12113,2012.0
