anime_id,episodes
21,
235,
1735,500.0
21639,148.0
8687,
30694,131.0
32977,100.0
6149,
23539,
34034,146.0
1199,
32717,100.0
34077,52.0
23135,140.0
33490,13.0
7643,37.0
13163,258.0
19157,214.0
32829,26.0
28921,37.0
1960,
33240,51.0
4459,
32670,51.0
32881,38.0
33314,52.0
32785,51.0
32308,
2406,
31049,51.0
31044,139.0
32353,
32772,89.0
32571,32.0
33026,24.0
33434,50.0
33541,12.0
33814,13.0
33655,
30914,30.0
30617,8.0
33044,744.0
30989,47.0
32237,
18007,32.0
27551,48.0
34207,16.0
32582,51.0
29431,7.0
30121,154.0
31640,26.0
31692,7.0
22669,
33290,27.0
8336,
30411,52.0
30470,38.0
33267,26.0
34292,16.0
30151,
32568,47.0
29489,2.0
29361,1.0
10797,425.0
8244,25.0
34233,13.0
24775,
30129,
31539,52.0
9947,3057.0
33782,2.0
32402,4.0
29427,
33479,20.0
32876,26.0
34309,8.0
33398,50.0
32572,32.0
33727,30.0
22585,24.0
24845,124.0
24403,3.0
34234,50.0
29435,4.0
29399,11.0
13463,431.0
29487,48.0
32842,27.0
33002,26.0
34156,13.0
21981,12.0
34235,50.0
10506,
33540,30.0
18941,
30120,34.0
32663,104.0
32585,52.0
13457,398.0
33099,44.0
31150,530.0
30119,
34096,12.0
34134,12.0
25777,12.0
33486,25.0
32937,10.0
33506,12.0
33417,10.0
32887,12.0
30455,8.0
33047,10.0
31783,25.0
34451,12.0
33852,
33489,25.0
32949,12.0
32901,12.0
34055,12.0
32981,12.0
34176,12.0
33010,1.0
31537,10.0
31931,12.0
31629,13.0
33018,13.0
29643,
33337,12.0
33839,1.0
34350,12.0
33820,1.0
33371,12.0
32878,12.0
33573,13.0
32086,1.0
33354,22.0
34525,12.0
34088,12.0
32830,13.0
34257,13.0
32407,12.0
34497,12.0
33988,12.0
32271,11.0
32212,24.0
34208,2.0
34338,12.0
34427,12.0
33203,12.0
33731,12.0
34488,10.0
32936,12.0
33783,1.0
21877,12.0
33948,12.0
34028,12.0
33733,26.0
33027,12.0
33012,12.0
33840,12.0
33532,12.0
33089,12.0
34501,12.0
34104,13.0
33206,13.0
34106,25.0
33788,12.0
33737,13.0
31422,12.0
31445,
34223,13.0
34383,12.0
33850,12.0
34264,
34148,12.0
34392,12.0
33447,12.0
33019,12.0
32262,12.0
32951,12.0
34393,12.0
33726,12.0
34494,25.0
34102,24.0
33889,12.0
34289,13.0
32836,13.0
32843,13.0
34456,24.0
30223,
33095,12.0
33502,12.0
33362,12.0
27783,12.0
34177,12.0
34449,12.0
32596,50.0
34474,13.0
34076,12.0
32924,12.0
34522,12.0
34467,13.0
32615,12.0
