anime_id,en_title,year
32281,Your Name.,2016.0
5114,Fullmetal Alchemist: Brotherhood,2009.0
28977,Gintama Season 4,2015.0
9253,Steins;Gate,2011.0
9969,Gintama Season 2,2011.0
32935,Haikyu!! 3rd Season,2016.0
11061,Hunter x Hunter,2011.0
15335,Gintama: The Movie: The Final Chapter: Be Forever Yorozuya,2013.0
15417,Gintama: Enchousen,2012.0
4181,Clannad: After Story,2008.0
28851,A Silent Voice,2016.0
918,Gintama,2006.0
2904,Code Geass: Lelouch of the Rebellion R2,2008.0
28891,Haikyu!! 2nd Season,2015.0
199,Spirited Away,2001.0
23273,Your Lie in April,2014.0
24701,Mushi-shi: Next Passage Part 2,2014.0
12355,Wolf Children,2012.0
1575,Code Geass: Lelouch of the Rebellion,2006.0
263,Fighting Spirit,2000.0
1,Cowboy Bebop,1998.0
30276,One Punch Man,2015.0
164,Princess Mononoke,1997.0
7311,The Disappearance of Haruhi Suzumiya,2010.0
17074,Monogatari Series: Second Season,2013.0
21939,Mushi-shi: Next Passage Part 1,2014.0
457,Mushi-Shi,2005.0
2001,Gurren Lagann,2007.0
245,Great Teacher Onizuka,1999.0
32983,Natsume's Book of Friends Season 5,2016.0
5258,Fighting Spirit: New Challenger,2009.0
28957,,2015.0
11665,Natsume's Book of Friends Season 4,2012.0
431,Howl's Moving Castle,2004.0
11741,Fate/Zero Season 2,2012.0
31757,Kizumonogatari Part 2: Hot-Blooded,2016.0
19,Monster,2004.0
12365,Bakuman Season 3,2012.0
1535,Death Note,2006.0
30654,Assassination Classroom Second Season,2016.0
20583,Haikyu!!,2014.0
19647,Hajime No Ippo: The Fighting!,2013.0
4282,The Garden of Sinners Chapter 5: Paradox Spiral,2008.0
10379,Natsume's Book of Friends Season 3,2011.0
22135,Ping Pong the Animation,2014.0
31043,ERASED,2016.0
7785,The Tatami Galaxy,2010.0
3297,Aria the Origination,2008.0
6114,Rainbow,2010.0
31240,Re:ZERO -Starting Life in Another World-,2016.0
4565,Gurren Lagann The Movie: The Lights in the Sky are Stars,2009.0
5300,Natsume's Book of Friends Season 2,2009.0
9989,Anohana: The Flower We Saw That Day,2011.0
24415,Kuroko's Basketball 3,2015.0
11577,Steins;Gate: The Movie - Load Region of Déjà Vu,2013.0
10408,Into the Forest of Fireflies' Light,2011.0
32995,Yuri!!! On ICE,2016.0
21899,,2012.0
26055,JoJo's Bizarre Adventure: Stardust Crusaders - Battle in Egypt,2015.0
7472,Gintama: The Movie,2010.0
22535,Parasyte: The Maxim,2014.0
28735,Showa Genroku Rakugo Shinju,2016.0
12431,Space Brothers,2012.0
28805,The Boy and the Beast,2015.0
578,Grave of the Fireflies,1988.0
16894,Kuroko's Basketball 2,2013.0
5028,,2009.0
21,One Piece,1999.0
801,Ghost in the Shell: Stand Alone Complex 2nd GIG,2004.0
31933,JoJo's Bizarre Adventure: Diamond is Unbreakable,2016.0
5205,The Garden of Sinners Chapter 7: A Study in Murder - Part 2,2009.0
17389,Kingdom: Season 2,2013.0
170,Slam Dunk,1993.0
10162,Bunny Drop,2011.0
18617,Girls und Panzer der Film,2015.0
32182,Mob Psycho 100,2016.0
877,Nana,2006.0
2251,Baccano!,2007.0
16498,Attack on Titan,2013.0
10030,Bakuman Season 2,2011.0
5941,Cross Game,2009.0
30346,Doukyusei -Classmates-,2016.0
3784,Evangelion: 2.0 You Can (Not) Advance,2009.0
13125,From the New World,2012.0
14397,,2013.0
10087,Fate/Zero,2011.0
14719,JoJo's Bizarre Adventure (2012),2012.0
9756,Puella Magi Madoka Magica,2011.0
10165,Nichijou - My Ordinary Life,2011.0
13601,Psycho-Pass,2012.0
22789,Barakamon,2014.0
30230,Ace of Diamond: Second Season,2015.0
18115,Magi: The Kingdom of Magic,2013.0
11981,Puella Magi Madoka Magica the Movie: Rebellion,2013.0
205,Samurai Champloo,2004.0
6594,Katanagatari,2010.0
11979,Puella Magi Madoka Magica the Movie Part 2: Eternal,2012.0
7655,,2010.0
2246,Mononoke,2007.0
25835,Shirobako,2014.0
2921,Tomorrow's Joe 2,1980.0
